training_base,testing_base,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,overall_accuracy,corruption_type
4,10,0.2316326530612245,0.6299559471365639,0.5426356589147286,0.5722772277227722,0.4775967413441955,0.6087443946188341,0.3590814196242171,0.541828793774319,0.2669404517453799,0.4182358771060456,0.4675,translate
2,10,0.1316326530612244,0.413215859030837,0.4437984496124031,0.5702970297029702,0.3645621181262729,0.4080717488789238,0.3841336116910229,0.5116731517509727,0.2905544147843942,0.3458870168483647,0.388,translate
999,10,0.2428571428571428,0.614977973568282,0.6443798449612403,0.6435643564356436,0.575356415478615,0.6143497757847534,0.4436325678496868,0.5846303501945526,0.3059548254620123,0.375619425173439,0.5067,translate
8,10,0.9591836734693876,0.8916299559471366,0.8265503875968992,0.7574257425742574,0.9969450101832994,0.7645739910313901,0.931106471816284,0.958171206225681,0.9322381930184804,0.800792864222002,0.8824,stripe
9,10,0.9612244897959183,0.909251101321586,0.8236434108527132,0.7227722772277227,0.9979633401221996,0.7892376681614349,0.8903966597077244,0.9620622568093384,0.8501026694045175,0.8503468780971258,0.8766,stripe
5,10,0.7938775510204081,0.9947136563876652,0.9234496124031008,0.9198019801980198,0.9653767820773932,0.734304932735426,0.9519832985386222,0.9640077821011672,0.9034907597535934,0.9187314172447968,0.9102,stripe
10,10,0.7673469387755102,0.9841409691629956,0.7965116279069767,0.9712871287128712,0.9867617107942972,0.8340807174887892,0.9718162839248434,0.9455252918287936,0.8336755646817249,0.9405351833498512,0.9049,stripe
7,10,0.8244897959183674,0.9779735682819384,0.8246124031007752,0.9653465346534652,0.9979633401221996,0.8856502242152466,0.8966597077244259,0.9445525291828794,0.8388090349075975,0.8473736372646185,0.9016,stripe
3,10,0.8948979591836734,0.33215859030837,0.8032945736434108,0.802970297029703,0.9124236252545824,0.6266816143497758,0.9498956158663884,0.9173151750972762,0.6170431211498973,0.8642220019821606,0.7675,stripe
6,10,0.689795918367347,0.9162995594713657,0.8536821705426356,0.7574257425742574,0.9938900203665988,0.952914798206278,0.9718162839248434,0.8939688715953308,0.784394250513347,0.7978196233894945,0.8607,stripe
99,10,0.7642857142857142,0.9814977973568282,0.935077519379845,0.907920792079208,0.989816700610998,0.8352017937219731,0.9394572025052192,0.9241245136186772,0.8172484599589322,0.9464816650148662,0.9063,stripe
4,10,0.9755102040816328,0.9841409691629956,0.7025193798449613,0.7326732673267327,0.9918533604887984,0.6210762331838565,0.941544885177453,0.9231517509727628,0.6016427104722792,0.9464816650148662,0.8458,stripe
2,10,0.826530612244898,0.9876651982378856,0.5581395348837209,0.7089108910891089,0.9338085539714868,0.7556053811659192,0.9467640918580376,0.9212062256809338,0.5913757700205339,0.8642220019821606,0.8116,stripe
